H1,Er1,W1,W2,T1,Zo
2,3,4,3.5,0.7,54.1491
2.1,3,4,3.5,0.7,55.752
2.2,3,4,3.5,0.7,57.2776
2.3,3,4,3.5,0.7,58.7739
2.4,3,4,3.5,0.7,60.215
2.5,3,4,3.5,0.7,61.614
2.6,3,4,3.5,0.7,62.9693
2.7,3,4,3.5,0.7,64.2934
2.8,3,4,3.5,0.7,65.5831
2.9,3,4,3.5,0.7,66.8242
3,3,4,3.5,0.7,68.0202
3.1,3,4,3.5,0.7,69.2122
3.2,3,4,3.5,0.7,70.3617
3.3,3,4,3.5,0.7,71.4832
3.4,3,4,3.5,0.7,72.5765
3.5,3,4,3.5,0.7,73.6436
3.6,3,4,3.5,0.7,74.6978
3.7,3,4,3.5,0.7,75.7301
3.8,3,4,3.5,0.7,76.7262
3.9,3,4,3.5,0.7,77.7007
4,3,4,3.5,0.7,78.6539
4.1,3,4,3.5,0.7,79.5869
4.2,3,4,3.5,0.7,80.4972
4.3,3,4,3.5,0.7,81.3924
4.4,3,4,3.5,0.7,82.2817
4.5,3,4,3.5,0.7,83.1419
4.6,3,4,3.5,0.7,83.9855
4.7,3,4,3.5,0.7,84.8132
4.8,3,4,3.5,0.7,85.6418
4.9,3,4,3.5,0.7,86.4397
5,3,4,3.5,0.7,87.2229
5.1,3,4,3.5,0.7,87.9926
5.2,3,4,3.5,0.7,88.7489
5.3,3,4,3.5,0.7,89.503
5.4,3,4,3.5,0.7,90.234
5.5,3,4,3.5,0.7,90.969
5.6,3,4,3.5,0.7,91.6765
5.7,3,4,3.5,0.7,92.372
5.8,3,4,3.5,0.7,93.0571
5.9,3,4,3.5,0.7,93.7315
6,3,4,3.5,0.7,94.3866
6.1,3,4,3.5,0.7,95.0406
6.2,3,4,3.5,0.7,95.7095
6.3,3,4,3.5,0.7,96.3437
6.4,3,4,3.5,0.7,96.9696
6.5,3,4,3.5,0.7,97.5677
6.6,3,4,3.5,0.7,98.1755
6.7,3,4,3.5,0.7,98.7749
6.8,3,4,3.5,0.7,99.3644
6.9,3,4,3.5,0.7,99.9476
7,3,4,3.5,0.7,100.5369
7.1,3,4,3.5,0.7,101.1049
7.2,3,4,3.5,0.7,101.6656
7.3,3,4,3.5,0.7,102.2339
7.4,3,4,3.5,0.7,102.7803
7.5,3,4,3.5,0.7,103.3199
7.6,3,4,3.5,0.7,103.8517
7.7,3,4,3.5,0.7,104.3781
7.8,3,4,3.5,0.7,104.898
7.9,3,4,3.5,0.7,105.4264
8,3,4,3.5,0.7,105.9342
8.1,3,4,3.5,0.7,106.4362
8.2,3,4,3.5,0.7,106.9324
8.3,3,4,3.5,0.7,107.4219
8.4,3,4,3.5,0.7,107.9068
8.5,3,4,3.5,0.7,108.3864
8.6,3,4,3.5,0.7,108.8725
8.7,3,4,3.5,0.7,109.3554
8.8,3,4,3.5,0.7,109.7878
8.9,3,4,3.5,0.7,110.263
9,3,4,3.5,0.7,110.7172
9.1,3,4,3.5,0.7,111.1667
9.2,3,4,3.5,0.7,111.6116
9.3,3,4,3.5,0.7,112.0503
9.4,3,4,3.5,0.7,112.486
9.5,3,4,3.5,0.7,112.9174
9.6,3,4,3.5,0.7,113.3445
9.7,3,4,3.5,0.7,113.7674
9.8,3,4,3.5,0.7,114.1861
9.9,3,4,3.5,0.7,114.6163
10,3,4,3.5,0.7,115.0351
10.1,3,4,3.5,0.7,115.442
10.2,3,4,3.5,0.7,115.845
10.3,3,4,3.5,0.7,116.2443
10.4,3,4,3.5,0.7,116.6399
10.5,3,4,3.5,0.7,117.0319
10.6,3,4,3.5,0.7,117.4167
10.7,3,4,3.5,0.7,117.8017
10.8,3,4,3.5,0.7,118.1816
10.9,3,4,3.5,0.7,118.5742
11,3,4,3.5,0.7,118.9491
11.1,3,4,3.5,0.7,119.3207
11.2,3,4,3.5,0.7,119.6892
11.3,3,4,3.5,0.7,120.0545
11.4,3,4,3.5,0.7,120.4167
11.5,3,4,3.5,0.7,120.782
11.6,3,4,3.5,0.7,121.1382
11.7,3,4,3.5,0.7,121.4914
11.8,3,4,3.5,0.7,121.8417
11.9,3,4,3.5,0.7,122.1892
12,3,4,3.5,0.7,122.5475
12.1,3,4,3.5,0.7,122.8895
12.2,3,4,3.5,0.7,123.2288
12.3,3,4,3.5,0.7,123.5639
12.4,3,4,3.5,0.7,123.8978
12.5,3,4,3.5,0.7,124.2292
12.6,3,4,3.5,0.7,124.5581
12.7,3,4,3.5,0.7,124.8844
12.8,3,4,3.5,0.7,125.2083
12.9,3,4,3.5,0.7,125.5297
13,3,4,3.5,0.7,125.8472
13.1,3,4,3.5,0.7,126.1829
13.2,3,4,3.5,0.7,126.4973
13.3,3,4,3.5,0.7,126.8093
13.4,3,4,3.5,0.7,127.1191
13.5,3,4,3.5,0.7,127.4267
13.6,3,4,3.5,0.7,127.7321
13.7,3,4,3.5,0.7,128.0339
13.8,3,4,3.5,0.7,128.335
13.9,3,4,3.5,0.7,128.634
14,3,4,3.5,0.7,128.9309
14.1,3,4,3.5,0.7,129.2257
14.2,3,4,3.5,0.7,129.5185
14.3,3,4,3.5,0.7,129.8208
14.4,3,4,3.5,0.7,130.1097
14.5,3,4,3.5,0.7,130.3953
